Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_adj_pct1_diff1_lag1,1952-05-01,2025-09-01,881,0.03466871454616727,4.051473250770578,2.7696233898127084e-05,1.2514542676628122,0.2111013547214893,0.0027026433227323025,0.0019211347916352674,0.182526677663402,0.5051078320090806,0.033315988058839396,30.294029012556337,4.872646943472534e-08
CapacityUtilization_diff1_lag1,1972-04-01,2025-09-01,642,-0.005599575708111315,,,-0.22124893065635712,0.8249690717113136,0.002870253990403757,0.002005096038329005,0.06785706697659846,0.4781931464174455,0.004604581538666719,2.9605643446722074,0.08580150132460627
CoreCPI_adj_pct1_diff1_lag1,1962-05-01,2025-09-01,761,0.0019362287615989349,2.8963638859924834,0.001941770343369046,0.12583196693468138,0.8998982158697303,0.0027620368029774092,0.0019387470740851174,0.06750095148834986,0.48226018396846254,0.004556378451832543,3.474120653425235,0.06272175277999731
DXY_Datastream_pct1,1976-03-01,2025-09-01,595,-0.01655545468920283,,,-0.9955438847865811,0.31987718015143124,0.002726620856697109,0.0019491927840909725,-0.003515768227821286,0.4403361344537815,1.236062623155565e-05,0.007329941957978961,0.9318013079254932
FedFundsRate_diff1,1959-09-01,2025-09-01,793,-0.03614593423073442,,,-2.261461744930271,0.024001108273978004,0.0027962734256394848,0.0019615557374855186,-0.048638017340614834,0.44640605296343,0.0023656567308261156,1.8756716693929605,0.17121558299984588
Housing_pct1_lag1,1964-04-01,2025-09-01,738,-0.03234498775366568,,,-2.0919947136310895,0.036780618844451565,0.002826964649771945,0.00195398006385843,-0.043036148550522554,0.4823848238482385,0.0018521100820626524,1.3656824145670319,0.24293346570698324
M2MoneySupply_pct1_lag1,1964-04-01,2025-09-01,738,-0.024886046267948325,,,-1.4814512705846092,0.1389137606899844,0.0028167333847719756,0.0019524849067595231,0.057269583197921095,0.483739837398374,0.00327980515966364,2.4218798916772157,0.12008113960924521
Payroll_pct1_lag1,1952-03-01,2025-09-01,883,-0.9119498029624047,,,-1.0283383147870593,0.3040726358715887,0.003803393505068055,0.0020502973643726267,0.059797040552072876,0.4801812004530011,0.0035756860587861095,3.1614838916671166,0.07573946483149775
T10Y3M_diff1,1987-03-01,2025-09-01,463,-0.015040311261776296,,,-0.4995313972875426,0.6176428766712845,0.002782526507826709,0.0019979468426191203,0.022786321777234088,0.4514038876889849,0.0005192164601357518,0.23948313170650265,0.6248124343355264
TradeSales_pct1_lag2,1972-05-01,2025-09-01,641,-0.042522146858738674,,,-1.76854693340297,0.07744581058366068,0.002923128571201073,0.002018784868284277,-0.0636256603641621,0.46489859594383776,0.0040482246567755675,2.597330131559965,0.1075376881706982
Unemployment_diff1_lag1,1953-04-01,2025-09-01,870,-0.281604603432571,,,-1.1181458504432216,0.26381371388646907,0.0031085847916076494,0.0020144545128824203,0.04085961899922918,0.4,0.001669508464762104,1.451556733667449,0.2286067104537754
Yield10Y_diff1,1967-03-01,2025-09-01,703,-0.018945445988764797,,,-1.0424471097258312,0.297563294174296,0.0028389813398327275,0.0019998199646052172,-0.022115649636033692,0.46799431009957326,0.0004891019588234569,0.343028248923716,0.5582749568706925
